what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1408929396829
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1408929396837
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1408929396838
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1408929396839
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1408929396839
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1408929396844
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1408929396844
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1408929396844
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1408929396844
os,sysinfo,,,"win32",1408929396847
arch,sysinfo,,,"x86",1408929396847
ws,sysinfo,,,"win32",1408929396847
locale,sysinfo,,,"zh_TW",1408929396847
processors,sysinfo,,,"8",1408929396847
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408929396847
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1408929396847
java.specification.name,sysinfo,,,"Java Platform API Specification",1408929396847
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1408929396847
java.specification.version,sysinfo,,,"1.6",1408929396847
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1408929396847
java.version,sysinfo,,,"1.6.0_23",1408929396847
java.vm.info,sysinfo,,,"mixed mode",1408929396847
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1408929396847
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408929396847
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1408929396847
java.vm.specification.version,sysinfo,,,"1.0",1408929396847
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1408929396847
java.vm.version,sysinfo,,,"19.0-b09",1408929396847
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1408929397042
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1408929397140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408929399180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408929401840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408929405192
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1408929405202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408929405546
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1408929406775
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1408929406792
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1408929406802
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1408929406947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408929410111
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1408929412606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408929413781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408929431061
